,index,group,enemies_slain,gain,player_life,enemy_life,time,index,group,enemies_slain,gain,player_life,enemy_life,time
46,35,ene2-weights-457,1.0,-294.39999999999986,21.95000000000001,58.75,327.125,55,ene2-weights-555m,1.0,-354.0,10.75,55.0,306.875
47,7,ene1-weights-814,1.0,-430.1999999999997,19.975000000000037,73.75,432.5,32,ene1-weights-814m,2.0,-365.7999999999997,21.775000000000034,67.5,376.625
48,8,ene1-weights-399m,1.0,-323.1999999999997,19.600000000000037,60.0,325.875,38,ene2-weights-897m,1.0,-378.0,11.5,58.75,287.0
49,49,ene1-weights-734,1.0,-471.5999999999996,18.55000000000004,77.5,400.875,31,ene7-weights-136,2.0,-388.19999999999936,10.22500000000007,58.75,263.25
50,57,ene2-weights-399,1.0,-459.99999999999983,16.250000000000036,73.75,337.625,42,ene7-weights-296,2.0,-391.7999999999995,9.77500000000007,58.75,243.75
51,52,ene1-weights-296m,1.0,-450.0,12.5,68.75,363.125,34,ene7-weights-457m,1.0,-394.59999999999974,9.42500000000003,58.75,348.75
52,38,ene2-weights-897m,1.0,-378.0,11.5,58.75,287.0,51,ene2-weights-399m,1.0,-414.0,10.75,62.5,285.125
53,3,ene7-weights-555,1.0,-352.5999999999999,10.925000000000015,55.0,304.875,0,ene2-weights-296,1.0,-426.0,10.5,63.75,295.625
54,18,ene7-weights-956,1.0,-433.79999999999984,10.775000000000016,65.0,356.5,7,ene1-weights-814,1.0,-430.1999999999997,19.975000000000037,73.75,432.5
55,51,ene2-weights-399m,1.0,-414.0,10.75,62.5,285.125,18,ene7-weights-956,1.0,-433.79999999999984,10.775000000000016,65.0,356.5
56,55,ene2-weights-555m,1.0,-354.0,10.75,55.0,306.875,52,ene1-weights-296m,1.0,-450.0,12.5,68.75,363.125
57,0,ene2-weights-296,1.0,-426.0,10.5,63.75,295.625,22,ene7-weights-296m,1.0,-453.3999999999998,9.575000000000028,66.25,293.0
58,22,ene7-weights-296m,1.0,-453.3999999999998,9.575000000000028,66.25,293.0,57,ene2-weights-399,1.0,-459.99999999999983,16.250000000000036,73.75,337.625
59,34,ene7-weights-457m,1.0,-394.59999999999974,9.42500000000003,58.75,348.75,49,ene1-weights-734,1.0,-471.5999999999996,18.55000000000004,77.5,400.875
